CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment_Map,Segment,Cluster,AI_Segment
12346,326,1,77183.6,1,1,5,115,11,Hibernating,3,Churned (Lost)
12347,2,182,4310.0,5,5,5,555,55,Champions,0,Loyal Customers
12348,75,31,1797.24,2,3,4,234,23,At Risk,1,At Risk
12349,19,73,1757.55,4,4,4,444,44,Loyal Customers,0,Loyal Customers
12350,310,17,334.4,1,2,2,122,12,Hibernating,3,Churned (Lost)
12352,36,85,2506.04,3,4,5,345,34,Loyal Customers,0,Loyal Customers
12353,204,4,89.0,1,1,1,111,11,Hibernating,3,Churned (Lost)
12354,232,58,1079.4,1,3,4,134,13,At Risk,3,Churned (Lost)
12355,214,13,459.4,1,1,2,112,11,Hibernating,3,Churned (Lost)
12356,23,59,2811.43,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12357,33,131,6207.67,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12358,2,19,1168.06,5,2,4,524,52,Potential Loyalists,0,Loyal Customers
12359,58,248,6372.58,3,5,5,355,35,Loyal Customers,0,Loyal Customers
12360,52,129,2662.06,3,5,5,355,35,Loyal Customers,0,Loyal Customers
12361,287,10,189.9,1,1,1,111,11,Hibernating,3,Churned (Lost)
12362,3,266,5226.23,5,5,5,555,55,Champions,0,Loyal Customers
12363,110,23,552.0,2,2,3,223,22,Hibernating,1,At Risk
12364,8,85,1313.1,5,4,4,544,54,Champions,0,Loyal Customers
12365,291,22,641.38,1,2,3,123,12,Hibernating,3,Churned (Lost)
12367,4,11,168.9,5,1,1,511,51,New Customers,0,Loyal Customers
12370,51,167,3545.69,3,5,5,355,35,Loyal Customers,0,Loyal Customers
12371,45,63,1887.96,3,4,4,344,34,Loyal Customers,0,Loyal Customers
12372,72,52,1298.04,3,3,4,334,33,Need Attention,1,At Risk
12373,311,14,364.6,1,1,2,112,11,Hibernating,3,Churned (Lost)
12374,25,33,742.9300000000001,4,3,3,433,43,Potential Loyalists,0,Loyal Customers
12375,11,17,457.5,5,2,2,522,52,Potential Loyalists,0,Loyal Customers
12377,315,77,1628.12,1,4,4,144,14,At Risk,3,Churned (Lost)
12378,130,219,4008.62,2,5,5,255,25,Can't Lose,1,At Risk
12379,82,40,852.24,2,3,3,233,23,At Risk,1,At Risk
12380,22,104,2724.81,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12381,5,87,1845.31,5,4,4,544,54,Champions,0,Loyal Customers
12383,185,99,1850.56,1,4,4,144,14,At Risk,1,At Risk
12384,29,27,585.27,4,2,3,423,42,Potential Loyalists,0,Loyal Customers
12386,338,10,401.9,1,1,2,112,11,Hibernating,3,Churned (Lost)
12388,16,100,2780.66,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12390,80,32,549.84,2,3,3,233,23,At Risk,1,At Risk
12391,22,100,460.89,4,4,2,442,44,Loyal Customers,0,Loyal Customers
12393,72,64,1582.6,3,4,4,344,34,Loyal Customers,1,At Risk
12394,64,27,1272.48,3,2,4,324,32,About To Sleep,1,At Risk
12395,19,156,3018.63,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12397,36,126,2409.9,3,5,5,355,35,Loyal Customers,0,Loyal Customers
12398,46,85,1635.66,3,4,4,344,34,Loyal Customers,0,Loyal Customers
12399,119,59,1108.65,2,4,4,244,24,At Risk,1,At Risk
12401,303,5,84.3,1,1,1,111,11,Hibernating,3,Churned (Lost)
12402,323,11,225.6,1,1,1,111,11,Hibernating,3,Churned (Lost)
12403,50,5,427.7,3,1,2,312,31,About To Sleep,1,At Risk
12405,149,54,1710.39,2,3,4,234,23,At Risk,1,At Risk
12406,22,105,3415.3,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12407,50,77,1708.12,3,4,4,344,34,Loyal Customers,0,Loyal Customers
12408,33,105,2888.55,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12409,79,109,11072.67,2,4,5,245,24,At Risk,0,Loyal Customers
12410,309,26,693.3299999999999,1,2,3,123,12,Hibernating,3,Churned (Lost)
12412,75,61,1226.88,2,4,4,244,24,At Risk,1,At Risk
12413,67,38,758.1,3,3,3,333,33,Need Attention,1,At Risk
12414,217,18,562.41,1,2,3,123,12,Hibernating,3,Churned (Lost)
12415,24,714,124914.53,4,5,5,455,45,Loyal Customers,2,Super VIP (Whales)
